"","president_name","year","sentiment","count"
"1","Barack Obama",2009,"anger",84
"2","Barack Obama",2009,"anticipation",176
"3","Barack Obama",2009,"disgust",67
"4","Barack Obama",2009,"fear",130
"5","Barack Obama",2009,"joy",111
"6","Barack Obama",2009,"negative",213
"7","Barack Obama",2009,"positive",367
"8","Barack Obama",2009,"sadness",95
"9","Barack Obama",2009,"surprise",50
"10","Barack Obama",2009,"trust",264
"11","Barack Obama",2010,"anger",104
"12","Barack Obama",2010,"anticipation",192
"13","Barack Obama",2010,"disgust",72
"14","Barack Obama",2010,"fear",153
"15","Barack Obama",2010,"joy",157
"16","Barack Obama",2010,"negative",262
"17","Barack Obama",2010,"positive",438
"18","Barack Obama",2010,"sadness",123
"19","Barack Obama",2010,"surprise",74
"20","Barack Obama",2010,"trust",297
"21","Barack Obama",2011,"anger",71
"22","Barack Obama",2011,"anticipation",194
"23","Barack Obama",2011,"disgust",42
"24","Barack Obama",2011,"fear",103
"25","Barack Obama",2011,"joy",159
"26","Barack Obama",2011,"negative",166
"27","Barack Obama",2011,"positive",403
"28","Barack Obama",2011,"sadness",63
"29","Barack Obama",2011,"surprise",73
"30","Barack Obama",2011,"trust",252
"31","Barack Obama",2012,"anger",86
"32","Barack Obama",2012,"anticipation",172
"33","Barack Obama",2012,"disgust",50
"34","Barack Obama",2012,"fear",130
"35","Barack Obama",2012,"joy",133
"36","Barack Obama",2012,"negative",235
"37","Barack Obama",2012,"positive",418
"38","Barack Obama",2012,"sadness",106
"39","Barack Obama",2012,"surprise",53
"40","Barack Obama",2012,"trust",288
"41","Barack Obama",2013,"anger",96
"42","Barack Obama",2013,"anticipation",213
"43","Barack Obama",2013,"disgust",60
"44","Barack Obama",2013,"fear",128
"45","Barack Obama",2013,"joy",162
"46","Barack Obama",2013,"negative",206
"47","Barack Obama",2013,"positive",474
"48","Barack Obama",2013,"sadness",88
"49","Barack Obama",2013,"surprise",80
"50","Barack Obama",2013,"trust",313
"51","Barack Obama",2014,"anger",75
"52","Barack Obama",2014,"anticipation",212
"53","Barack Obama",2014,"disgust",63
"54","Barack Obama",2014,"fear",132
"55","Barack Obama",2014,"joy",165
"56","Barack Obama",2014,"negative",205
"57","Barack Obama",2014,"positive",479
"58","Barack Obama",2014,"sadness",96
"59","Barack Obama",2014,"surprise",89
"60","Barack Obama",2014,"trust",308
"61","Barack Obama",2015,"anger",84
"62","Barack Obama",2015,"anticipation",200
"63","Barack Obama",2015,"disgust",60
"64","Barack Obama",2015,"fear",120
"65","Barack Obama",2015,"joy",136
"66","Barack Obama",2015,"negative",186
"67","Barack Obama",2015,"positive",422
"68","Barack Obama",2015,"sadness",84
"69","Barack Obama",2015,"surprise",88
"70","Barack Obama",2015,"trust",261
"71","Barack Obama",2016,"anger",110
"72","Barack Obama",2016,"anticipation",171
"73","Barack Obama",2016,"disgust",47
"74","Barack Obama",2016,"fear",146
"75","Barack Obama",2016,"joy",151
"76","Barack Obama",2016,"negative",180
"77","Barack Obama",2016,"positive",397
"78","Barack Obama",2016,"sadness",99
"79","Barack Obama",2016,"surprise",86
"80","Barack Obama",2016,"trust",258
"81","Donald Trump",2017,"anger",90
"82","Donald Trump",2017,"anticipation",150
"83","Donald Trump",2017,"disgust",53
"84","Donald Trump",2017,"fear",131
"85","Donald Trump",2017,"joy",160
"86","Donald Trump",2017,"negative",171
"87","Donald Trump",2017,"positive",372
"88","Donald Trump",2017,"sadness",85
"89","Donald Trump",2017,"surprise",77
"90","Donald Trump",2017,"trust",265
"91","George Bush",2001,"anger",64
"92","George Bush",2001,"anticipation",191
"93","George Bush",2001,"disgust",21
"94","George Bush",2001,"fear",94
"95","George Bush",2001,"joy",160
"96","George Bush",2001,"negative",151
"97","George Bush",2001,"positive",405
"98","George Bush",2001,"sadness",78
"99","George Bush",2001,"surprise",65
"100","George Bush",2001,"trust",297
"101","George Bush",2002,"anger",84
"102","George Bush",2002,"anticipation",145
"103","George Bush",2002,"disgust",58
"104","George Bush",2002,"fear",157
"105","George Bush",2002,"joy",105
"106","George Bush",2002,"negative",182
"107","George Bush",2002,"positive",311
"108","George Bush",2002,"sadness",82
"109","George Bush",2002,"surprise",60
"110","George Bush",2002,"trust",225
"111","George Bush",2003,"anger",139
"112","George Bush",2003,"anticipation",167
"113","George Bush",2003,"disgust",74
"114","George Bush",2003,"fear",234
"115","George Bush",2003,"joy",132
"116","George Bush",2003,"negative",273
"117","George Bush",2003,"positive",375
"118","George Bush",2003,"sadness",121
"119","George Bush",2003,"surprise",59
"120","George Bush",2003,"trust",266
"121","George Bush",2004,"anger",101
"122","George Bush",2004,"anticipation",161
"123","George Bush",2004,"disgust",55
"124","George Bush",2004,"fear",158
"125","George Bush",2004,"joy",132
"126","George Bush",2004,"negative",222
"127","George Bush",2004,"positive",401
"128","George Bush",2004,"sadness",93
"129","George Bush",2004,"surprise",54
"130","George Bush",2004,"trust",296
"131","George Bush",2005,"anger",78
"132","George Bush",2005,"anticipation",194
"133","George Bush",2005,"disgust",49
"134","George Bush",2005,"fear",160
"135","George Bush",2005,"joy",170
"136","George Bush",2005,"negative",191
"137","George Bush",2005,"positive",425
"138","George Bush",2005,"sadness",81
"139","George Bush",2005,"surprise",69
"140","George Bush",2005,"trust",348
"141","George Bush",2006,"anger",126
"142","George Bush",2006,"anticipation",176
"143","George Bush",2006,"disgust",85
"144","George Bush",2006,"fear",174
"145","George Bush",2006,"joy",168
"146","George Bush",2006,"negative",242
"147","George Bush",2006,"positive",436
"148","George Bush",2006,"sadness",116
"149","George Bush",2006,"surprise",98
"150","George Bush",2006,"trust",308
"151","George Bush",2007,"anger",115
"152","George Bush",2007,"anticipation",169
"153","George Bush",2007,"disgust",65
